年齡,工作,婚姻,學歷,聯絡方式,最後聯絡時間,聯絡次數,消費價格指數,消費信心指數,訂購
31.0,服務業,單身,高中,手機,750.0,2,92.89299999999999,-46.2,一次
55.0,無業,已婚,高中,市話,154.0,8,94.465,-41.8,一次
27.0,主管,已婚,專科,手機,466.0,1,92.89299999999999,-46.2,頻繁
35.0,主管,已婚,大學,手機,222.0,1,93.075,-47.1,一次
29.0,藍領,單身,國中,手機,85.0,2,92.89299999999999,-46.2,頻繁
35.0,藍領,已婚,國中,手機,100.0,1,92.89299999999999,-46.2,偶爾
24.0,主管,已婚,高中,手機,296.0,1,93.91799999999999,-42.7,一次
32.0,服務業,已婚,專科,手機,186.0,1,93.2,-42.0,從未
49.0,藍領,已婚,小學,市話,190.0,1,93.994,-36.4,偶爾
29.0,技術員,已婚,專科,手機,328.0,1,93.91799999999999,-42.7,偶爾
31.0,藍領,已婚,國中,手機,680.0,1,92.89299999999999,-46.2,頻繁
39.0,主管,已婚,高中,手機,301.0,1,93.91799999999999,-42.7,偶爾
45.0,主管,已婚,大學,手機,9.0,7,93.91799999999999,-42.7,一次
31.0,主管,單身,高中,市話,26.0,25,93.994,-36.4,頻繁
43.0,主管,已婚,專科,手機,127.0,3,93.91799999999999,-42.7,偶爾
44.0,經理,已婚,大學,手機,277.0,1,93.2,-42.0,一次
50.0,技術員,已婚,專科,市話,1003.0,1,93.994,-36.4,一次
42.0,主管,已婚,高中,手機,131.0,1,93.2,-42.0,頻繁
29.0,主管,單身,大學,市話,129.0,6,93.91799999999999,-42.7,偶爾
36.0,主管,已婚,大學,手機,104.0,1,92.431,-26.9,頻繁
50.0,技術員,單身,專科,手機,173.0,8,93.91799999999999,-42.7,偶爾
68.0,退休,已婚,小學,手機,110.0,1,92.20100000000001,-31.4,從未
41.0,自僱人士,已婚,大學,手機,247.0,2,93.444,-36.1,一次
35.0,主管,已婚,專科,市話,62.0,1,94.465,-41.8,偶爾
39.0,技術員,已婚,專科,市話,575.0,2,93.994,-36.4,一次
30.0,企業家,離婚,國中,手機,149.0,1,92.89299999999999,-46.2,從未
49.0,藍領,已婚,小學,市話,61.0,1,93.994,-36.4,一次
57.0,主管,已婚,高中,手機,127.0,4,93.444,-36.1,頻繁
34.0,技術員,已婚,高中,手機,561.0,1,93.2,-42.0,從未
34.0,主管,已婚,大學,手機,1227.0,2,93.444,-36.1,頻繁
29.0,技術員,已婚,專科,市話,145.0,1,94.465,-41.8,頻繁
55.0,技術員,已婚,專科,手機,78.0,4,93.91799999999999,-42.7,從未
34.0,藍領,單身,國中,市話,205.0,5,94.465,-41.8,頻繁
45.0,藍領,已婚,小學,市話,553.0,2,94.465,-41.8,偶爾
34.0,藍領,已婚,國中,手機,227.0,2,93.91799999999999,-42.7,偶爾
46.0,藍領,已婚,國中,市話,220.0,6,93.994,-36.4,偶爾
26.0,技術員,單身,大學,手機,129.0,2,94.215,-40.3,從未
39.0,主管,離婚,高中,手機,301.0,1,92.89299999999999,-46.2,偶爾
51.0,服務業,已婚,專科,市話,328.0,7,93.994,-36.4,從未
56.0,藍領,未知,小學,手機,422.0,1,93.075,-47.1,從未
35.0,主管,已婚,專科,手機,34.0,1,93.075,-47.1,偶爾
58.0,主管,離婚,國中,市話,38.0,2,93.994,-36.4,偶爾
42.0,服務業,離婚,高中,市話,111.0,2,94.465,-41.8,偶爾
35.0,主管,已婚,高中,手機,194.0,1,92.431,-26.9,頻繁
38.0,主管,已婚,大學,市話,744.0,1,93.994,-36.4,一次
31.0,技術員,單身,未知,手機,428.0,2,94.027,-38.3,頻繁
27.0,主管,單身,高中,手機,491.0,1,93.91799999999999,-42.7,偶爾
42.0,經理,已婚,大學,市話,220.0,11,93.444,-36.1,從未
41.0,藍領,離婚,未知,手機,242.0,7,93.91799999999999,-42.7,偶爾
40.0,企業家,已婚,國中,手機,69.0,2,93.2,-42.0,一次
38.0,經理,離婚,大學,手機,543.0,9,93.91799999999999,-42.7,偶爾
34.0,主管,已婚,大學,手機,104.0,1,92.89299999999999,-46.2,偶爾
54.0,企業家,已婚,大學,市話,39.0,2,94.465,-41.8,頻繁
56.0,未知,單身,國中,手機,102.0,2,93.91799999999999,-42.7,從未
28.0,藍領,單身,國中,手機,149.0,1,92.89299999999999,-46.2,從未
35.0,藍領,單身,高中,手機,173.0,1,92.89299999999999,-46.2,從未
41.0,主管,已婚,大學,市話,129.0,4,94.465,-41.8,偶爾
34.0,企業家,已婚,專科,市話,53.0,1,93.994,-36.4,從未
56.0,技術員,單身,專科,手機,116.0,6,93.2,-42.0,頻繁
36.0,經理,單身,高中,手機,508.0,1,93.075,-47.1,頻繁
32.0,技術員,單身,大學,手機,322.0,1,93.444,-36.1,頻繁
27.0,技術員,單身,專科,市話,248.0,1,94.465,-41.8,從未
30.0,藍領,單身,高中,手機,72.0,7,93.91799999999999,-42.7,偶爾
30.0,技術員,單身,高中,手機,124.0,2,92.89299999999999,-46.2,一次
42.0,藍領,單身,小學,手機,560.0,3,92.89299999999999,-46.2,一次
39.0,主管,離婚,專科,手機,593.0,4,93.369,-34.8,頻繁
31.0,主管,已婚,大學,手機,173.0,1,92.89299999999999,-46.2,從未
48.0,藍領,已婚,專科,手機,22.0,25,93.91799999999999,-42.7,從未
36.0,技術員,已婚,大學,手機,248.0,1,93.444,-36.1,一次
33.0,藍領,已婚,小學,市話,76.0,12,94.465,-41.8,偶爾
56.0,經理,已婚,大學,市話,136.0,1,93.994,-36.4,一次
24.0,服務業,單身,高中,手機,1150.0,3,93.91799999999999,-42.7,偶爾
60.0,退休,已婚,未知,手機,600.0,2,93.444,-36.1,從未
40.0,服務業,已婚,國中,手機,247.0,2,93.91799999999999,-42.7,從未
33.0,藍領,已婚,國中,手機,430.0,2,92.89299999999999,-46.2,從未
35.0,自僱人士,已婚,大學,市話,33.0,12,93.91799999999999,-42.7,從未
36.0,主管,單身,大學,手機,152.0,1,93.2,-42.0,從未
29.0,藍領,單身,小學,手機,104.0,5,93.2,-42.0,從未
31.0,無業,單身,專科,市話,92.0,2,93.994,-36.4,一次
38.0,主管,已婚,大學,手機,80.0,1,93.444,-36.1,從未
30.0,主管,單身,高中,手機,455.0,2,93.91799999999999,-42.7,從未
31.0,學生,單身,高中,手機,756.0,3,93.075,-47.1,偶爾
31.0,主管,已婚,大學,手機,280.0,7,93.444,-36.1,頻繁
37.0,技術員,已婚,國中,手機,130.0,2,93.91799999999999,-42.7,從未
45.0,自僱人士,已婚,國中,手機,71.0,1,93.91799999999999,-42.7,頻繁
80.0,退休,已婚,高中,市話,199.0,1,92.20100000000001,-31.4,頻繁
52.0,服務業,已婚,小學,手機,264.0,3,93.91799999999999,-42.7,頻繁
28.0,主管,已婚,大學,手機,140.0,1,92.20100000000001,-31.4,從未
57.0,退休,已婚,大學,手機,349.0,1,92.20100000000001,-31.4,偶爾
40.0,藍領,離婚,國中,市話,246.0,3,93.91799999999999,-42.7,頻繁
46.0,藍領,已婚,國中,手機,122.0,1,93.444,-36.1,偶爾
36.0,藍領,已婚,國中,市話,244.0,2,94.465,-41.8,偶爾
39.0,藍領,單身,小學,市話,137.0,3,92.84299999999999,-50.0,從未
30.0,主管,單身,大學,手機,160.0,4,92.89299999999999,-46.2,一次
55.0,經理,已婚,大學,手機,114.0,3,92.963,-40.8,一次
37.0,主管,單身,高中,手機,52.0,4,93.91799999999999,-42.7,從未
42.0,技術員,已婚,專科,手機,196.0,2,92.89299999999999,-46.2,一次
37.0,企業家,已婚,大學,市話,17.0,1,93.2,-42.0,頻繁
27.0,服務業,單身,大學,手機,104.0,1,93.369,-34.8,偶爾
36.0,技術員,已婚,專科,市話,247.0,1,93.994,-36.4,從未
40.0,自僱人士,已婚,大學,手機,775.0,1,93.075,-47.1,從未
54.0,退休,已婚,大學,市話,26.0,3,94.465,-41.8,從未
27.0,無業,已婚,國中,手機,62.0,1,93.91799999999999,-42.7,從未
35.0,服務業,單身,高中,手機,195.0,2,92.89299999999999,-46.2,從未
33.0,服務業,單身,高中,手機,281.0,1,92.89299999999999,-46.2,偶爾
42.0,經理,已婚,大學,市話,109.0,3,93.994,-36.4,頻繁
39.0,主管,已婚,大學,手機,44.0,1,93.2,-42.0,偶爾
53.0,主管,已婚,高中,手機,11.0,2,93.2,-42.0,頻繁
28.0,服務業,單身,未知,手機,466.0,2,92.89299999999999,-46.2,一次
83.0,退休,已婚,小學,手機,321.0,1,93.075,-47.1,偶爾
43.0,家管,離婚,國中,手機,94.0,5,93.91799999999999,-42.7,偶爾
48.0,主管,已婚,高中,手機,345.0,2,93.075,-47.1,一次
30.0,經理,已婚,大學,手機,173.0,2,93.91799999999999,-42.7,偶爾
33.0,主管,已婚,大學,手機,263.0,1,93.91799999999999,-42.7,一次
47.0,經理,已婚,大學,手機,109.0,4,93.2,-42.0,頻繁
44.0,服務業,離婚,高中,手機,164.0,1,93.2,-42.0,一次
32.0,技術員,已婚,專科,手機,107.0,4,93.444,-36.1,從未
28.0,藍領,已婚,國中,市話,228.0,1,93.994,-36.4,一次
29.0,主管,單身,大學,手機,120.0,3,93.444,-36.1,偶爾
38.0,服務業,已婚,高中,手機,857.0,2,93.91799999999999,-42.7,一次
48.0,主管,已婚,大學,市話,82.0,2,93.2,-42.0,一次
38.0,經理,已婚,高中,手機,171.0,3,93.444,-36.1,頻繁
40.0,藍領,已婚,小學,市話,354.0,7,94.465,-41.8,偶爾
38.0,藍領,單身,高中,市話,21.0,1,94.055,-39.8,頻繁
41.0,技術員,已婚,高中,手機,66.0,10,93.444,-36.1,一次
48.0,主管,單身,大學,手機,76.0,1,93.2,-42.0,頻繁
44.0,藍領,離婚,國中,市話,161.0,2,93.91799999999999,-42.7,一次
48.0,主管,已婚,高中,市話,24.0,1,93.2,-42.0,一次
21.0,藍領,已婚,國中,手機,279.0,2,92.89299999999999,-46.2,從未
25.0,服務業,單身,高中,手機,239.0,2,92.963,-40.8,頻繁
31.0,藍領,已婚,國中,市話,101.0,1,93.994,-36.4,從未
32.0,主管,離婚,國中,手機,177.0,1,93.91799999999999,-42.7,從未
39.0,技術員,離婚,專科,市話,182.0,11,93.994,-36.4,一次
36.0,藍領,已婚,專科,手機,269.0,1,93.444,-36.1,一次
38.0,技術員,已婚,大學,手機,1374.0,6,93.444,-36.1,一次
45.0,主管,離婚,大學,市話,8.0,12,94.465,-41.8,偶爾
58.0,技術員,已婚,小學,市話,88.0,1,92.431,-26.9,從未
29.0,主管,單身,大學,手機,307.0,2,92.37899999999999,-29.8,偶爾
42.0,退休,單身,小學,手機,116.0,3,93.876,-40.0,從未
50.0,藍領,已婚,國中,手機,153.0,1,93.91799999999999,-42.7,頻繁
37.0,藍領,離婚,國中,市話,454.0,1,93.994,-36.4,頻繁
35.0,服務業,已婚,高中,手機,280.0,1,93.075,-47.1,頻繁
29.0,主管,單身,大學,手機,82.0,7,93.444,-36.1,一次
36.0,技術員,離婚,專科,市話,90.0,4,94.465,-41.8,偶爾
37.0,技術員,已婚,高中,市話,115.0,2,94.465,-41.8,偶爾
32.0,主管,已婚,大學,手機,124.0,2,93.444,-36.1,偶爾
34.0,技術員,單身,大學,手機,455.0,3,93.444,-36.1,一次
26.0,藍領,單身,國中,手機,1833.0,2,93.91799999999999,-42.7,從未
64.0,退休,已婚,高中,手機,79.0,4,92.649,-30.1,頻繁
49.0,藍領,已婚,國中,市話,1149.0,2,94.465,-41.8,頻繁
36.0,主管,單身,大學,手機,168.0,1,93.444,-36.1,一次
59.0,退休,已婚,小學,手機,13.0,6,92.89299999999999,-46.2,從未
34.0,服務業,離婚,國中,手機,465.0,1,92.89299999999999,-46.2,偶爾
36.0,技術員,單身,國中,市話,227.0,2,94.465,-41.8,一次
53.0,藍領,單身,國中,市話,897.0,2,94.215,-40.3,一次
49.0,退休,離婚,專科,市話,128.0,8,93.444,-36.1,偶爾
36.0,藍領,已婚,小學,市話,41.0,3,94.465,-41.8,從未
39.0,藍領,已婚,國中,手機,266.0,1,93.91799999999999,-42.7,一次
23.0,學生,單身,高中,市話,105.0,2,92.649,-30.1,頻繁
28.0,主管,已婚,大學,市話,52.0,3,93.994,-36.4,頻繁
41.0,藍領,已婚,專科,手機,370.0,1,93.075,-47.1,偶爾
38.0,藍領,已婚,國中,手機,218.0,1,93.075,-47.1,從未
34.0,藍領,單身,國中,手機,8.0,3,93.075,-47.1,一次
31.0,服務業,已婚,高中,市話,166.0,2,93.994,-36.4,頻繁
